Country,total_cases,total_deaths,latitude,longitude,Population,Density(P/KMsq),Land_Area
Serbia,2356431267.0,17851649.0,44.016521,21.005859,7149077.0,82.0,87460.0
Seychelles,46921574.0,170524.0,-4.679574,55.491977,107660.0,234.0,460.0
Sierra Leone,9082538.0,161328.0,8.460555,-11.779889,8791092.0,122.0,72180.0
Singapore,1907130895.0,1533211.0,1.352083,103.819836,6014723.0,8592.0,700.0
Sint Maarten (Dutch part),10558700.0,98582.0,18.04248,-63.05483,,,
Slovakia,1724408387.0,22106282.0,48.669026,19.699024,5795199.0,121.0,48088.0
Slovenia,1166783680.0,9566661.0,46.151241,14.995463,2119675.0,105.0,20140.0
Solomon Islands,17978098.0,135726.0,-9.64571,160.156194,740424.0,26.0,27990.0
Somalia,29893849.0,1496596.0,5.152149,46.199616,18143378.0,29.0,627340.0
South Africa,4406224942.0,116529899.0,-30.559482,22.937506,60414495.0,50.0,1213090.0
South Korea,23237609843.0,26860886.0,35.907757,127.766922,51784059.0,533.0,97230.0
South Sudan,20191059.0,174636.0,4.859363,31.571251,11088796.0,18.0,610952.0
Spain,13313618559.0,141002109.0,40.463667,-3.74922,47519628.0,95.0,498800.0
Sri Lanka,690973484.0,16702899.0,7.873054,80.771797,21893579.0,349.0,62710.0
Sudan,71256219.0,5414583.0,12.862807,30.217636,48109006.0,27.0,1765048.0
Suriname,80518286.0,1424547.0,3.919305,-56.027783,623236.0,4.0,156000.0
Sweden,2677617636.0,26491284.0,60.128161,18.643501,10612086.0,26.0,410340.0
Switzerland,3862126593.0,16418555.0,46.818188,8.227512,8796669.0,223.0,39516.0
Syria,60476936.0,3454520.0,34.802075,38.996815,23227014.0,126.0,183630.0
Taiwan,,,23.69781,120.960515,23923276.0,676.0,35410.0
Tajikistan,23112795.0,164219.0,38.861034,71.276093,10143543.0,72.0,139960.0
Tanzania,39465581.0,847545.0,-6.369028,34.888822,67438106.0,76.0,885800.0
Thailand,4193461896.0,30828830.0,15.870032,100.992541,71801279.0,141.0,510890.0
Timor,23764562.0,135560.0,,,,,
Togo,40144077.0,314114.0,8.619543,0.824782,9053799.0,166.0,54390.0
Tokelau,26806.0,,-9.200636,-171.84841,1893.0,189.0,10.0
Tonga,12425284.0,9378.0,-21.178986,-175.198242,107773.0,150.0,720.0
Trinidad and Tobago,167756978.0,4007557.0,10.691803,-61.222503,1534937.0,299.0,5130.0
Tunisia,1152352410.0,31552873.0,33.886917,9.537499,12458223.0,80.0,155360.0
Turkey,16404821691.0,107437256.0,38.963745,35.243322,85816199.0,112.0,769630.0
Turkmenistan,,,38.969719,59.556278,6516100.0,14.0,469930.0
Turks and Caicos Islands,6589267.0,40241.0,21.694025,-71.797928,,,
Tuvalu,1604956.0,344.0,-7.109535,179.194347,11396.0,380.0,30.0
